STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT09
USW00013891,"KNOXVILLE AIRPORT, TN US",5/18/2019,2.68,,0.39,0,0,75,88,63,200,240,47,61.1,1,,1,,1,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/19/2019,8.5,,0,0,0,73,86,62,210,240,25.9,34,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/20/2019,6.93,,0,0,0,76,84,65,230,230,17,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/21/2019,3.58,,0,0,0,72,87,56,290,290,8.9,12.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/22/2019,6.26,,0,0,0,77,90,64,230,230,19.9,25.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/23/2019,6.71,,0,0,0,79,88,68,230,300,14.1,19.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/24/2019,3.58,,0,0,0,80,90,69,240,250,10.1,15,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/25/2019,6.04,,0,0,0,80,91,69,220,220,17,23,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/26/2019,7.38,,0,0,0,80,92,68,220,230,19.9,25.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/27/2019,6.49,,0,0,0,80,91,68,230,250,16.1,21.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/28/2019,10.07,,0,0,0,81,91,71,220,230,19.9,25.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/29/2019,10.96,,0,0,0,81,93,70,230,220,21.9,29.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/30/2019,11.41,,0,0,0,81,91,71,220,250,25.9,32,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",5/31/2019,8.5,,0.61,0,0,75,83,66,250,240,21.9,27.1,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/1/2019,3.36,,0,0,0,72,84,59,250,300,8.1,12.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/2/2019,5.59,,0,0,0,75,87,64,270,250,15,19.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/3/2019,6.49,,0,0,0,74,83,63,40,30,14.1,18.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/4/2019,7.38,,0,0,0,71,86,59,280,240,15,19,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/5/2019,7.38,,0.26,0,0,74,81,68,210,210,23,28,1,,1,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/6/2019,8.05,,0.04,0,0,74,79,69,230,210,18.1,23,,,,,,,
